GPSTIMESTAMP,BUSID,LINE,LATITUDE,LONGITUDE,VELOCITY,ID,SWVERSION,ELEVATION
2023-02-21 00:00:02,D13378,801,-22.88012,-43.35769,0.0,160,2.0.14,34
2023-02-21 00:00:03,D13322,801,-22.87976,-43.35805,0.0,199,2.0.14,35
2023-02-21 00:00:03,D13384,801,-22.87939,-43.35709,0.0,242,2.0.14,35
2023-02-21 00:00:05,D13191,801,-22.87999,-43.35821,0.0,318,2.0.14,33
2023-02-21 00:00:10,D13086,801,-22.88029,-43.35821,0.0,624,2.0.14,32
2023-02-21 00:00:12,D13215,801,-22.87997,-43.35813,0.0,744,2.0.14,34
2023-02-21 00:00:14,D13374,801,-22.87976,-43.35693,0.0,853,2.0.14,34
2023-02-21 00:00:18,D13013,801,-22.87641,-43.41941,0.0,1080,2.0.14,36
2023-02-21 00:00:18,D13200,801,-22.88063,-43.35806,0.0,1127,2.0.14,34
2023-02-21 00:00:22,D13371,801,-22.88004,-43.35685,0.0,1362,2.0.14,33
2023-02-21 00:00:31,D13378,801,-22.88012,-43.35769,0.0,1855,2.0.14,34
2023-02-21 00:00:33,D13384,801,-22.87939,-43.35709,0.0,1970,2.0.14,35
2023-02-21 00:00:33,D13322,801,-22.87992,-43.35799,0.2777777777777778,1998,2.0.14,34
2023-02-21 00:00:35,D13191,801,-22.87999,-43.35821,0.0,2119,2.0.14,33
2023-02-21 00:00:40,D13086,801,-22.88029,-43.35821,0.0,2416,2.0.14,32
2023-02-21 00:00:42,D13215,801,-22.87997,-43.35813,0.0,2502,2.0.14,34
2023-02-21 00:00:44,D13374,801,-22.87976,-43.35693,0.0,2610,2.0.14,34
2023-02-21 00:00:48,D13013,801,-22.87641,-43.41941,0.0,2847,2.0.14,36
2023-02-21 00:00:48,D13200,801,-22.88063,-43.35806,0.0,2862,2.0.14,34
2023-02-21 00:00:52,D13371,801,-22.88004,-43.35685,0.0,3120,2.0.14,33
2023-02-21 00:01:02,D13378,801,-22.88012,-43.35769,0.0,3693,2.0.14,34
2023-02-21 00:01:03,D13322,801,-22.88025,-43.35728,2.7777777777777777,3732,2.0.14,33
2023-02-21 00:01:03,D13384,801,-22.87939,-43.35709,0.0,3760,2.0.14,35
2023-02-21 00:01:05,D13191,801,-22.87999,-43.35821,0.0,3887,2.0.14,33
2023-02-21 00:01:10,D13086,801,-22.88029,-43.35821,0.0,4157,2.0.14,32
2023-02-21 00:01:12,D13215,801,-22.87997,-43.35813,0.0,4266,2.0.14,34
2023-02-21 00:01:14,D13374,801,-22.87976,-43.35693,0.0,4397,2.0.14,34
2023-02-21 00:01:18,D13013,801,-22.87641,-43.41941,0.0,4607,2.0.14,36
2023-02-21 00:01:18,D13200,801,-22.88063,-43.35806,0.0,4615,2.0.14,34
2023-02-21 00:01:22,D13371,801,-22.88004,-43.35685,0.0,4888,2.0.14,33
2023-02-21 00:01:32,D13378,801,-22.88012,-43.35769,0.0,5431,2.0.14,34
2023-02-21 00:01:33,D13322,801,-22.88035,-43.35695,0.0,5485,2.0.14,33
2023-02-21 00:01:33,D13384,801,-22.87939,-43.35709,0.0,5491,2.0.14,35
2023-02-21 00:01:35,D13191,801,-22.87999,-43.35821,0.0,5619,2.0.14,33
2023-02-21 00:01:40,D13086,801,-22.88029,-43.35821,0.0,5976,2.0.14,32
2023-02-21 00:01:42,D13215,801,-22.87997,-43.35813,0.0,6045,2.0.14,34
2023-02-21 00:01:44,D13374,801,-22.87976,-43.35693,0.0,6197,2.0.14,34
2023-02-21 00:01:48,D13200,801,-22.88063,-43.35806,0.0,6404,2.0.14,34
2023-02-21 00:01:48,D13013,801,-22.87641,-43.41941,0.0,6430,2.0.14,36
2023-02-21 00:01:52,D13371,801,-22.88004,-43.35685,0.0,6675,2.0.14,33
2023-02-21 00:02:02,D13378,801,-22.88012,-43.35769,0.0,7246,2.0.14,34
2023-02-21 00:02:03,D13384,801,-22.87939,-43.35709,0.0,7283,2.0.14,35
2023-02-21 00:02:03,D13322,801,-22.88035,-43.35695,0.0,7320,2.0.14,33
2023-02-21 00:02:05,D13191,801,-22.87999,-43.35821,0.0,7397,2.0.14,33
2023-02-21 00:02:10,D13086,801,-22.88029,-43.35821,0.0,7755,2.0.14,32
2023-02-21 00:02:12,D13215,801,-22.87997,-43.35813,0.0,7865,2.0.14,34
2023-02-21 00:02:14,D13374,801,-22.87976,-43.35693,0.0,7973,2.0.14,34
2023-02-21 00:02:18,D13013,801,-22.87641,-43.41941,0.0,8179,2.0.14,36
2023-02-21 00:02:18,D13200,801,-22.88063,-43.35806,0.0,8187,2.0.14,34
2023-02-21 00:02:22,D13371,801,-22.88004,-43.35685,0.0,8460,2.0.14,33
2023-02-21 00:02:32,D13378,801,-22.88012,-43.35769,0.0,8985,2.0.14,34
2023-02-21 00:02:33,D13322,801,-22.88035,-43.35695,0.0,9054,2.0.14,33
2023-02-21 00:02:33,D13384,801,-22.87939,-43.35709,0.0,9086,2.0.14,35
2023-02-21 00:02:35,D13191,801,-22.87999,-43.35821,0.0,9207,2.0.14,33
2023-02-21 00:02:40,D13086,801,-22.88029,-43.35821,0.0,9481,2.0.14,32
2023-02-21 00:02:42,D13215,801,-22.87997,-43.35813,0.0,9587,2.0.14,34
2023-02-21 00:02:44,D13374,801,-22.87976,-43.35693,0.0,9713,2.0.14,34
2023-02-21 00:02:48,D13013,801,-22.87641,-43.41941,0.0,9951,2.0.14,36
2023-02-21 00:02:48,D13200,801,-22.88063,-43.35806,0.0,9962,2.0.14,34
2023-02-21 00:02:52,D13371,801,-22.88004,-43.35685,0.0,10208,2.0.14,33
2023-02-21 00:03:02,D13378,801,-22.88012,-43.35769,0.0,10775,2.0.14,34
2023-02-21 00:03:03,D13384,801,-22.87939,-43.35709,0.0,10843,2.0.14,35
2023-02-21 00:03:03,D13322,801,-22.88035,-43.35695,0.0,10873,2.0.14,33
2023-02-21 00:03:05,D13191,801,-22.87999,-43.35821,0.0,10985,2.0.14,33
2023-02-21 00:03:10,D13086,801,-22.88029,-43.35821,0.0,11283,2.0.14,32
2023-02-21 00:03:12,D13215,801,-22.87997,-43.35813,0.0,11374,2.0.14,34
2023-02-21 00:03:14,D13374,801,-22.87976,-43.35693,0.0,11485,2.0.14,34
2023-02-21 00:03:18,D13200,801,-22.88063,-43.35806,0.0,11729,2.0.14,34
2023-02-21 00:03:18,D13013,801,-22.87641,-43.41941,0.0,11747,2.0.14,36
2023-02-21 00:03:22,D13371,801,-22.88004,-43.35685,0.0,11975,2.0.14,33
2023-02-21 00:03:32,D13378,801,-22.88012,-43.35769,0.0,12573,2.0.14,34
2023-02-21 00:03:33,D13384,801,-22.87939,-43.35709,0.0,12647,2.0.14,35
2023-02-21 00:03:33,D13322,801,-22.88035,-43.35695,0.0,12657,2.0.14,33
2023-02-21 00:03:35,D13191,801,-22.87999,-43.35821,0.0,12769,2.0.14,33
2023-02-21 00:03:40,D13086,801,-22.88029,-43.35821,0.0,13066,2.0.14,32
2023-02-21 00:03:42,D13215,801,-22.87997,-43.35813,0.0,13148,2.0.14,34
2023-02-21 00:03:44,D13374,801,-22.87976,-43.35693,0.0,13281,2.0.14,34
2023-02-21 00:03:48,D13013,801,-22.87641,-43.41941,0.0,13495,2.0.14,36
2023-02-21 00:03:48,D13200,801,-22.88063,-43.35806,0.0,13525,2.0.14,34
2023-02-21 00:03:52,D13371,801,-22.88004,-43.35685,0.0,13804,2.0.14,33
2023-02-21 00:04:02,D13378,801,-22.88012,-43.35769,0.0,14329,2.0.14,34
2023-02-21 00:04:03,D13322,801,-22.88035,-43.35695,0.0,14417,2.0.14,33
2023-02-21 00:04:03,D13384,801,-22.87939,-43.35709,0.0,14422,2.0.14,35
2023-02-21 00:04:05,D13191,801,-22.87999,-43.35821,0.0,14507,2.0.14,33
2023-02-21 00:04:10,D13086,801,-22.88029,-43.35821,0.0,14848,2.0.14,32
2023-02-21 00:04:12,D13215,801,-22.87997,-43.35813,0.0,14945,2.0.14,34
2023-02-21 00:04:14,D13374,801,-22.87976,-43.35693,0.0,15050,2.0.14,34
2023-02-21 00:04:18,D13200,801,-22.88063,-43.35806,0.0,15307,2.0.14,34
2023-02-21 00:04:18,D13013,801,-22.87641,-43.41941,0.0,15332,2.0.14,36
2023-02-21 00:04:22,D13371,801,-22.88004,-43.35685,0.0,15579,2.0.14,33
2023-02-21 00:04:31,D13378,801,-22.88012,-43.35769,0.0,16058,2.0.14,34
2023-02-21 00:04:33,D13322,801,-22.88035,-43.35695,0.0,16149,2.0.14,33
2023-02-21 00:04:33,D13384,801,-22.87939,-43.35709,0.0,16184,2.0.14,35
