GPSTIMESTAMP,BUSID,LINE,LATITUDE,LONGITUDE,VELOCITY,ID,SWVERSION_x,ELEVATION,NEIGHBORHOOD,ADMINISTRATIVEREGION,PARKING,TERMINAL,CORRIDOR,SWVERSION_y
2023-02-21 00:00:02,A27611,432,-22.91929,-43.23346,0.0,179,2.0.14,17,035,9.0,,,,2.0.14
2023-02-21 00:00:11,A27544,432,-22.9866,-43.22933,0.0,691,2.0.14,14,026,6.0,,,,2.0.14
2023-02-21 00:00:13,A27574,432,-22.90705,-43.19786,2.7777777777777777,811,2.0.14,5,008,3.0,,,12.0,2.0.14
2023-02-21 00:00:21,A27582,432,-22.9136,-43.24347,0.0,1288,2.0.14,27,036,9.0,,,,2.0.14
2023-02-21 00:00:32,A27611,432,-22.9194,-43.23381,5.0,1910,2.0.14,18,035,9.0,,,,2.0.14
2023-02-21 00:00:41,A27544,432,-22.98633,-43.2287,4.166666666666667,2469,2.0.14,27,026,6.0,,,3.0,2.0.14
2023-02-21 00:00:43,A27574,432,-22.90732,-43.19859,3.0555555555555554,2601,2.0.14,6,008,3.0,,,12.0,2.0.14
2023-02-21 00:00:51,A27582,432,-22.9136,-43.24348,0.0,3056,2.0.14,26,036,9.0,,,,2.0.14
2023-02-21 00:01:00,A27670,432,-22.9075,-43.19925,1.9444444444444444,3532,2.0.14,11,008,3.0,,,12.0,2.0.14
2023-02-21 00:01:02,A27611,432,-22.91827,-43.2347,6.111111111111111,3721,2.0.14,17,035,9.0,,,,2.0.14
2023-02-21 00:01:11,A27544,432,-22.98581,-43.22747,3.333333333333333,4247,2.0.14,24,026,6.0,,,3.0,2.0.14
2023-02-21 00:01:13,A27574,432,-22.90742,-43.19907,0.2777777777777778,4329,2.0.14,11,008,3.0,,,12.0,2.0.14
2023-02-21 00:01:21,A27582,432,-22.9136,-43.24348,0.0,4802,2.0.14,26,036,9.0,,,,2.0.14
2023-02-21 00:01:30,A27670,432,-22.90768,-43.1999,2.7777777777777777,5347,2.0.14,17,008,3.0,,,12.0,2.0.14
2023-02-21 00:01:32,A27611,432,-22.91667,-43.23509,6.666666666666666,5430,2.0.14,20,035,9.0,,,,2.0.14
2023-02-21 00:01:41,A27544,432,-22.9858,-43.22741,0.0,5982,2.0.14,24,026,6.0,,,3.0,2.0.14
2023-02-21 00:01:43,A27574,432,-22.90766,-43.19975,1.9444444444444444,6127,2.0.14,16,008,3.0,,,12.0,2.0.14
2023-02-21 00:01:51,A27582,432,-22.91367,-43.24404,0.0,6614,2.0.14,26,036,9.0,,,,2.0.14
2023-02-21 00:02:00,A27670,432,-22.90816,-43.20129,8.055555555555555,7133,2.0.14,7,008,3.0,,,12.0,2.0.14
2023-02-21 00:02:02,A27611,432,-22.91647,-43.23513,0.0,7254,2.0.14,20,035,9.0,,,,2.0.14
2023-02-21 00:02:11,A27544,432,-22.98542,-43.22647,6.388888888888888,7819,2.0.14,23,026,6.0,,,3.0,2.0.14
2023-02-21 00:02:13,A27574,432,-22.90832,-43.20142,8.055555555555555,7911,2.0.14,8,008,3.0,,,11.0,2.0.14
2023-02-21 00:02:21,A27582,432,-22.91382,-43.24467,3.888888888888889,8407,2.0.14,24,036,9.0,,,,2.0.14
2023-02-21 00:02:32,A27611,432,-22.91601,-43.23523,1.3888888888888888,8998,2.0.14,20,035,9.0,,,,2.0.14
2023-02-21 00:02:41,A27544,432,-22.98499,-43.22528,0.0,9575,2.0.14,18,026,6.0,,,3.0,2.0.14
2023-02-21 00:02:43,A27574,432,-22.90935,-43.20439,11.11111111111111,9680,2.0.14,13,008,3.0,,,11.0,2.0.14
2023-02-21 00:02:51,A27582,432,-22.91399,-43.24559,3.0555555555555554,10129,2.0.14,31,036,9.0,,,,2.0.14
2023-02-21 00:03:02,A27611,432,-22.91536,-43.23537,6.944444444444445,10781,2.0.14,16,036,9.0,,,,2.0.14
2023-02-21 00:03:11,A27544,432,-22.98498,-43.22528,0.0,11315,2.0.14,18,026,6.0,,,3.0,2.0.14
2023-02-21 00:03:13,A27574,432,-22.90966,-43.20555,0.0,11434,2.0.14,5,008,3.0,,,11.0,2.0.14
2023-02-21 00:03:21,A27582,432,-22.91408,-43.24609,0.0,11951,2.0.14,25,036,9.0,,,,2.0.14
2023-02-21 00:03:30,A27670,432,-22.91007,-43.21027,12.777777777777777,12434,2.0.14,6,032,8.0,,,,2.0.14
2023-02-21 00:03:32,A27611,432,-22.9138,-43.23599,5.0,12538,2.0.14,16,036,9.0,,,24.0,2.0.14
2023-02-21 00:03:41,A27544,432,-22.98464,-43.22444,7.5,13106,2.0.14,23,026,6.0,,,3.0,2.0.14
2023-02-21 00:03:43,A27574,432,-22.90986,-43.20602,6.666666666666666,13232,2.0.14,8,008,3.0,,,,2.0.14
