GPSTIMESTAMP,BUSID,LINE,LATITUDE,LONGITUDE,VELOCITY,ID,SWVERSION,ELEVATION
2023-02-21 00:01:20,A50167,220,-22.92926,-43.25407,0.0,4744,2.0.14,32
2023-02-21 00:04:03,C50116,220,-22.92887,-43.25379,0.0,14416,2.0.14,33
2023-02-21 00:07:18,C50117,220,-22.92875,-43.25431,0.0,25939,2.0.14,31
2023-02-21 00:07:40,A50095,220,-22.92912,-43.2542,0.0,27229,2.0.14,32
2023-02-21 00:09:18,A50025,220,-22.92918,-43.25416,0.0,32924,2.0.14,32
2023-02-21 00:10:46,A50024,220,-22.92921,-43.25425,0.0,38069,2.0.14,32
2023-02-21 00:14:29,A50004,220,-22.92917,-43.25438,0.0,51105,2.0.14,31
2023-02-21 00:16:03,A50138,220,-22.9291,-43.25435,0.0,56549,2.0.14,31
2023-02-21 00:17:44,A50049,220,-22.92911,-43.25436,0.0,62331,2.0.14,31
2023-02-21 00:18:08,A50036,220,-22.9291,-43.25436,0.0,63721,2.0.14,31
2023-02-21 00:19:46,A50097,220,-22.92908,-43.25448,0.0,69320,2.0.14,31
2023-02-21 00:22:46,A50125,220,-22.92904,-43.25451,0.0,79537,2.0.14,31
2023-02-21 00:24:14,A50010,220,-22.92875,-43.25406,0.0,84659,2.0.14,32
2023-02-21 00:31:20,A50167,220,-22.92926,-43.25407,0.0,108909,2.0.14,32
2023-02-21 00:34:03,C50116,220,-22.92887,-43.25379,0.0,118068,2.0.14,33
2023-02-21 00:37:18,C50117,220,-22.92884,-43.2543,0.0,129056,2.0.14,32
2023-02-21 00:37:40,A50095,220,-22.92912,-43.2542,0.0,130228,2.0.14,32
2023-02-21 00:39:18,A50025,220,-22.92918,-43.25416,0.0,135708,2.0.14,32
2023-02-21 00:40:46,A50024,220,-22.92921,-43.25425,0.0,140638,2.0.14,32
2023-02-21 00:44:29,A50004,220,-22.92917,-43.25438,0.0,153004,2.0.14,31
2023-02-21 00:46:03,A50138,220,-22.9291,-43.25435,0.0,158268,2.0.14,31
2023-02-21 00:47:44,A50049,220,-22.92913,-43.25439,0.0,163937,2.0.14,31
2023-02-21 00:48:08,A50036,220,-22.92909,-43.25433,0.0,165257,2.0.14,31
2023-02-21 00:49:46,A50097,220,-22.92908,-43.25448,0.0,170713,2.0.14,31
2023-02-21 00:52:46,A50125,220,-22.92906,-43.25449,0.0,180713,2.0.14,31
2023-02-21 00:54:14,A50010,220,-22.92878,-43.25406,0.0,185636,2.0.14,32
2023-02-21 01:01:20,A50167,220,-22.92926,-43.25407,0.0,209362,2.0.14,32
2023-02-21 01:04:03,C50116,220,-22.92887,-43.25379,0.0,218287,2.0.14,33
2023-02-21 01:07:18,C50117,220,-22.92884,-43.2543,0.0,228866,2.0.14,32
2023-02-21 01:07:40,A50095,220,-22.92912,-43.2542,0.0,230113,2.0.14,32
2023-02-21 01:09:18,A50025,220,-22.92918,-43.25416,0.0,235431,2.0.14,32
2023-02-21 01:10:46,A50024,220,-22.92921,-43.25425,0.0,240172,2.0.14,32
2023-02-21 01:14:29,A50004,220,-22.92917,-43.25438,0.0,252298,2.0.14,31
2023-02-21 01:16:03,A50138,220,-22.9291,-43.25435,0.0,257355,2.0.14,31
2023-02-21 01:17:44,A50049,220,-22.9291,-43.2544,0.0,262757,2.0.14,31
2023-02-21 01:18:08,A50036,220,-22.92902,-43.25438,0.0,264046,2.0.14,31
2023-02-21 01:19:46,A50097,220,-22.92908,-43.25448,0.0,269324,2.0.14,31
2023-02-21 01:22:46,A50125,220,-22.92906,-43.25446,0.0,278841,2.0.14,31
2023-02-21 01:24:14,A50010,220,-22.92878,-43.25406,0.0,283482,2.0.14,32
2023-02-21 01:31:20,A50167,220,-22.92926,-43.25407,0.0,305900,2.0.14,32
2023-02-21 01:34:03,C50116,220,-22.92887,-43.25379,0.0,314488,2.0.14,33
2023-02-21 01:37:18,C50117,220,-22.92884,-43.2543,0.0,324628,2.0.14,32
2023-02-21 01:37:40,A50095,220,-22.92912,-43.2542,0.0,325759,2.0.14,32
2023-02-21 01:39:18,A50025,220,-22.92916,-43.25423,0.0,330803,2.0.14,32
2023-02-21 01:40:46,A50024,220,-22.92921,-43.25425,0.0,335365,2.0.14,32
2023-02-21 01:44:29,A50004,220,-22.92917,-43.25438,0.0,346995,2.0.14,31
2023-02-21 01:46:03,A50138,220,-22.92911,-43.25438,0.0,351919,2.0.14,31
2023-02-21 01:47:44,A50049,220,-22.92909,-43.25438,0.0,357103,2.0.14,31
2023-02-21 01:48:08,A50036,220,-22.92907,-43.25435,0.0,358365,2.0.14,31
2023-02-21 01:49:46,A50097,220,-22.92908,-43.25448,0.0,363419,2.0.14,31
2023-02-21 01:52:46,A50125,220,-22.92904,-43.2545,0.0,372681,2.0.14,31
2023-02-21 01:54:14,A50010,220,-22.92877,-43.25407,0.0,377241,2.0.14,32
2023-02-21 02:01:20,A50167,220,-22.92922,-43.25409,0.0,399130,2.0.14,32
2023-02-21 02:04:03,C50116,220,-22.92887,-43.25379,0.0,407579,2.0.14,33
2023-02-21 02:07:18,C50117,220,-22.92874,-43.25436,0.0,417697,2.0.14,33
2023-02-21 02:07:40,A50095,220,-22.92912,-43.25426,0.0,418866,2.0.14,32
2023-02-21 02:09:18,A50025,220,-22.92916,-43.25423,0.0,423908,2.0.14,32
2023-02-21 02:10:46,A50024,220,-22.92921,-43.25425,0.0,428434,2.0.14,32
2023-02-21 02:14:29,A50004,220,-22.92912,-43.25441,0.0,440051,2.0.14,31
2023-02-21 02:16:03,A50138,220,-22.92911,-43.25437,0.0,445023,2.0.14,31
2023-02-21 02:17:44,A50049,220,-22.92906,-43.25434,0.0,450219,2.0.14,31
2023-02-21 02:18:08,A50036,220,-22.92903,-43.25438,0.0,451475,2.0.14,31
2023-02-21 02:19:46,A50097,220,-22.92901,-43.2545,0.0,456580,2.0.14,31
2023-02-21 02:22:46,A50125,220,-22.92907,-43.25451,0.0,465846,2.0.14,31
2023-02-21 02:24:14,A50010,220,-22.92874,-43.25417,0.0,470447,2.0.14,33
2023-02-21 02:31:20,A50167,220,-22.92919,-43.25414,0.0,492560,2.0.14,32
2023-02-21 02:32:21,A50096,220,-22.92887,-43.25424,0.0,495741,2.0.14,32
2023-02-21 02:33:56,A50098,220,-22.95996,-43.39526,0.0,500657,2.0.14,8
2023-02-21 02:34:03,C50116,220,-22.92887,-43.25379,0.0,501020,2.0.14,33
2023-02-21 02:37:18,C50117,220,-22.92869,-43.25441,0.0,511068,2.0.14,33
2023-02-21 02:37:40,A50095,220,-22.92912,-43.25426,0.0,512209,2.0.14,32
2023-02-21 02:39:18,A50025,220,-22.92916,-43.25423,0.0,517275,2.0.14,32
2023-02-21 02:40:46,A50024,220,-22.92921,-43.25425,0.0,521818,2.0.14,32
2023-02-21 02:44:29,A50004,220,-22.92912,-43.2544,0.0,533376,2.0.14,31
2023-02-21 02:46:03,A50138,220,-22.92911,-43.25437,0.0,538283,2.0.14,31
2023-02-21 02:47:44,A50049,220,-22.9291,-43.25433,0.0,543518,2.0.14,31
2023-02-21 02:48:08,A50036,220,-22.929,-43.25435,0.0,544754,2.0.14,31
2023-02-21 02:49:46,A50097,220,-22.92901,-43.2545,0.0,549815,2.0.14,31
2023-02-21 02:52:46,A50125,220,-22.92904,-43.2545,0.0,559099,2.0.14,31
2023-02-21 02:53:16,A50142,220,-22.92923,-43.25411,0.0,560697,2.0.14,32
2023-02-21 02:54:14,A50010,220,-22.92877,-43.25415,0.0,563719,2.0.14,32
2023-02-21 02:58:40,A50064,220,-22.9295,-43.25365,0.0,577587,2.0.14,32
2023-02-21 03:01:20,A50167,220,-22.92919,-43.25412,0.0,585904,2.0.14,32
2023-02-21 03:02:21,A50096,220,-22.92885,-43.25423,0.0,589064,2.0.14,32
2023-02-21 03:04:03,C50116,220,-22.92887,-43.25379,0.0,594329,2.0.14,33
2023-02-21 03:07:18,C50117,220,-22.92878,-43.25433,0.0,604367,2.0.14,31
2023-02-21 03:07:40,A50095,220,-22.92915,-43.25425,0.0,605550,2.0.14,32
2023-02-21 03:09:18,A50025,220,-22.9291,-43.25422,0.0,610525,2.0.14,32
2023-02-21 03:10:46,A50024,220,-22.92921,-43.25425,0.0,615077,2.0.14,32
2023-02-21 03:14:29,A50004,220,-22.92911,-43.25439,0.0,626657,2.0.14,31
2023-02-21 03:16:03,A50138,220,-22.92908,-43.25438,0.0,631632,2.0.14,31
2023-02-21 03:17:44,A50049,220,-22.92905,-43.25436,0.0,636917,2.0.14,31
2023-02-21 03:18:08,A50036,220,-22.92899,-43.25436,0.0,638181,2.0.14,31
2023-02-21 03:19:46,A50097,220,-22.92901,-43.2545,0.0,643359,2.0.14,31
2023-02-21 03:22:46,A50125,220,-22.92906,-43.25452,0.0,652825,2.0.14,31
2023-02-21 03:23:16,A50142,220,-22.92923,-43.25411,0.0,654434,2.0.14,32
2023-02-21 03:24:03,A50058,220,-22.92965,-43.25337,0.0,656920,2.0.14,33
2023-02-21 03:24:14,A50010,220,-22.92869,-43.25414,0.0,657466,2.0.14,33
2023-02-21 03:28:40,A50064,220,-22.9295,-43.25367,0.0,671660,2.0.14,32
2023-02-21 03:31:20,A50167,220,-22.92919,-43.25411,0.0,680167,2.0.14,32
2023-02-21 03:32:21,A50096,220,-22.92885,-43.25425,0.0,683428,2.0.14,32
2023-02-21 03:34:03,C50116,220,-22.92887,-43.25379,0.0,688962,2.0.14,33
2023-02-21 03:37:18,C50117,220,-22.92872,-43.25436,0.0,699295,2.0.14,33
