GPSTIMESTAMP,BUSID,LINE,LATITUDE,LONGITUDE,VELOCITY,ID,SWVERSION,ELEVATION
2023-02-21 00:00:02,C44543,783,-22.86111,-43.35592,0.0,124,2.0.14,21
2023-02-21 00:00:04,C44515,783,-22.86038,-43.35653,0.0,250,2.0.14,16
2023-02-21 00:00:26,B44605,783,-22.87852,-43.51027,0.0,1549,2.0.14,51
2023-02-21 00:00:32,C44543,783,-22.86111,-43.35592,0.0,1907,2.0.14,21
2023-02-21 00:00:56,B44605,783,-22.87852,-43.51027,0.0,3313,2.0.14,51
2023-02-21 00:01:02,C44543,783,-22.86111,-43.35592,0.0,3684,2.0.14,21
2023-02-21 00:01:26,B44605,783,-22.87852,-43.51027,0.0,5099,2.0.14,51
2023-02-21 00:01:32,C44543,783,-22.86111,-43.35592,0.0,5465,2.0.14,21
2023-02-21 00:01:56,B44605,783,-22.87852,-43.51027,0.0,6872,2.0.14,51
2023-02-21 00:02:02,C44543,783,-22.86111,-43.35592,0.0,7212,2.0.14,21
2023-02-21 00:02:26,B44605,783,-22.87852,-43.51027,0.0,8645,2.0.14,51
2023-02-21 00:02:32,C44543,783,-22.86111,-43.35592,0.0,9035,2.0.14,21
2023-02-21 00:02:56,B44605,783,-22.87852,-43.51027,0.0,10439,2.0.14,51
2023-02-21 00:03:02,C44543,783,-22.86111,-43.35592,0.0,10790,2.0.14,21
2023-02-21 00:03:26,B44605,783,-22.87852,-43.51027,0.0,12187,2.0.14,51
2023-02-21 00:03:32,C44543,783,-22.86111,-43.35592,0.0,12575,2.0.14,21
2023-02-21 00:03:56,B44605,783,-22.87852,-43.51027,0.0,14019,2.0.14,51
2023-02-21 00:04:02,C44543,783,-22.86111,-43.35592,0.0,14339,2.0.14,21
2023-02-21 00:04:26,B44605,783,-22.87852,-43.51027,0.0,15750,2.0.14,51
2023-02-21 00:04:32,C44543,783,-22.86111,-43.35592,0.0,16101,2.0.14,21
2023-02-21 00:04:56,B44605,783,-22.87852,-43.51027,0.0,17542,2.0.14,51
2023-02-21 00:05:02,C44543,783,-22.86111,-43.35592,0.0,17908,2.0.14,21
2023-02-21 00:05:26,B44605,783,-22.87852,-43.51027,0.0,19309,2.0.14,51
2023-02-21 00:05:32,C44543,783,-22.86111,-43.35592,0.0,19698,2.0.14,21
2023-02-21 00:05:56,B44605,783,-22.87852,-43.51027,0.0,21130,2.0.14,51
2023-02-21 00:06:02,C44543,783,-22.86111,-43.35592,0.0,21482,2.0.14,21
2023-02-21 00:06:26,B44605,783,-22.87852,-43.51027,0.0,22871,2.0.14,51
2023-02-21 00:06:32,C44543,783,-22.86111,-43.35592,0.0,23252,2.0.14,21
2023-02-21 00:06:56,B44605,783,-22.87852,-43.51027,0.0,24683,2.0.14,51
2023-02-21 00:07:02,C44543,783,-22.86111,-43.35592,0.0,25000,2.0.14,21
2023-02-21 00:07:26,B44605,783,-22.87852,-43.51027,0.0,26380,2.0.14,51
2023-02-21 00:07:32,C44543,783,-22.86111,-43.35586,0.0,26742,2.0.14,21
2023-02-21 00:07:56,B44605,783,-22.87852,-43.51027,0.0,28120,2.0.14,51
2023-02-21 00:08:02,C44543,783,-22.86101,-43.35588,1.3888888888888888,28490,2.0.14,21
2023-02-21 00:08:26,B44605,783,-22.87852,-43.51027,0.0,29856,2.0.14,51
2023-02-21 00:08:32,C44543,783,-22.86073,-43.35568,2.7777777777777777,30224,2.0.14,20
2023-02-21 00:08:56,B44605,783,-22.87852,-43.51027,0.0,31603,2.0.14,51
2023-02-21 00:09:02,C44543,783,-22.86084,-43.35538,0.0,31991,2.0.14,19
2023-02-21 00:09:26,B44605,783,-22.87852,-43.51027,0.0,33380,2.0.14,51
2023-02-21 00:09:32,C44543,783,-22.86074,-43.35542,0.0,33776,2.0.14,20
2023-02-21 00:09:56,B44605,783,-22.87852,-43.51027,0.0,35156,2.0.14,51
2023-02-21 00:10:02,C44543,783,-22.86072,-43.35542,0.0,35512,2.0.14,20
2023-02-21 00:10:26,B44605,783,-22.87852,-43.51027,0.0,36943,2.0.14,51
2023-02-21 00:10:32,C44543,783,-22.86071,-43.35543,0.0,37253,2.0.14,20
2023-02-21 00:10:56,B44605,783,-22.87852,-43.51027,0.0,38675,2.0.14,51
2023-02-21 00:11:02,C44543,783,-22.86071,-43.35543,0.0,39055,2.0.14,20
2023-02-21 00:11:26,B44605,783,-22.87852,-43.51027,0.0,40474,2.0.14,51
2023-02-21 00:11:32,C44543,783,-22.86071,-43.35543,0.0,40828,2.0.14,20
2023-02-21 00:11:56,B44605,783,-22.87852,-43.51027,0.0,42238,2.0.14,51
2023-02-21 00:12:02,C44543,783,-22.86071,-43.35543,0.0,42574,2.0.14,20
2023-02-21 00:12:26,B44605,783,-22.87852,-43.51027,0.0,43969,2.0.14,51
2023-02-21 00:12:26,C44543,783,-22.86071,-43.35543,0.0,43975,2.0.14,20
2023-02-21 00:12:56,B44605,783,-22.87852,-43.51027,0.0,45704,2.0.14,51
2023-02-21 00:13:26,B44605,783,-22.87852,-43.51027,0.0,47437,2.0.14,51
2023-02-21 00:13:56,B44605,783,-22.87857,-43.51093,3.0555555555555554,49192,2.0.14,53
2023-02-21 00:14:26,B44605,783,-22.87808,-43.51133,1.3888888888888888,50940,2.0.14,53
2023-02-21 00:14:56,B44605,783,-22.87803,-43.51138,1.1111111111111112,52684,2.0.14,53
2023-02-21 00:15:26,B44605,783,-22.87788,-43.51173,1.1111111111111112,54388,2.0.14,55
2023-02-21 00:15:56,B44605,783,-22.87803,-43.5119,0.0,56120,2.0.14,53
2023-02-21 00:15:58,C44680,783,-22.86043,-43.35533,0.0,56249,2.0.14,19
2023-02-21 00:16:26,B44605,783,-22.87809,-43.51202,0.0,57895,2.0.14,53
2023-02-21 00:16:56,B44605,783,-22.8777,-43.51228,2.2222222222222223,59623,2.0.14,54
2023-02-21 00:17:26,B44605,783,-22.87752,-43.51233,0.0,61355,2.0.14,55
2023-02-21 00:17:56,B44605,783,-22.87738,-43.51237,1.1111111111111112,63039,2.0.14,55
