GPSTIMESTAMP,BUSID,LINE,LATITUDE,LONGITUDE,VELOCITY,ID,SWVERSION_x,ELEVATION,NEIGHBORHOOD,ADMINISTRATIVEREGION,PARKING,TERMINAL,CORRIDOR,SWVERSION_y
2023-02-21 00:11:56,B31134,484,-22.80488,-43.3091,0.0,42240,2.0.14,7,048,31.0,41.0,,,2.0.14
2023-02-21 00:28:52,B31073,484,-22.80419,-43.31123,0.0,100556,2.0.14,3,048,31.0,41.0,,,2.0.14
2023-02-21 00:41:56,B31134,484,-22.80492,-43.30908,0.0,144596,2.0.14,7,048,31.0,41.0,,,2.0.14
2023-02-21 00:58:52,B31073,484,-22.80414,-43.31126,0.0,201191,2.0.14,5,048,31.0,41.0,,,2.0.14
2023-02-21 01:11:56,B31134,484,-22.80496,-43.30907,0.0,244006,2.0.14,7,048,31.0,41.0,,,2.0.14
2023-02-21 01:28:52,B31073,484,-22.80417,-43.31121,0.0,298107,2.0.14,3,048,31.0,41.0,,,2.0.14
2023-02-21 01:41:56,B31134,484,-22.80494,-43.30908,0.0,339025,2.0.14,7,048,31.0,41.0,,,2.0.14
2023-02-21 01:58:52,B31073,484,-22.80415,-43.31125,0.0,391501,2.0.14,3,048,31.0,41.0,,,2.0.14
2023-02-21 02:11:56,B31134,484,-22.80492,-43.30911,0.0,432128,2.0.14,7,048,31.0,41.0,,,2.0.14
2023-02-21 02:28:52,B31073,484,-22.80422,-43.31123,0.0,484910,2.0.14,3,048,31.0,41.0,,,2.0.14
2023-02-21 02:41:56,B31134,484,-22.8049,-43.3091,0.0,525459,2.0.14,7,048,31.0,41.0,,,2.0.14
2023-02-21 02:58:52,B31073,484,-22.80416,-43.31125,0.0,578194,2.0.14,3,048,31.0,41.0,,,2.0.14
2023-02-21 03:11:56,B31134,484,-22.80494,-43.30911,0.0,618737,2.0.14,7,048,31.0,41.0,,,2.0.14
2023-02-21 03:28:52,B31073,484,-22.80417,-43.31124,0.0,672330,2.0.14,3,048,31.0,41.0,,,2.0.14
2023-02-21 03:41:56,B31134,484,-22.80494,-43.30909,0.0,714266,2.0.14,7,048,31.0,41.0,,,2.0.14
2023-02-21 03:47:08,B31003,484,-22.80484,-43.30935,0.0,731161,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:47:38,B31003,484,-22.80484,-43.30935,0.0,732805,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:48:08,B31003,484,-22.80484,-43.30935,0.0,734434,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:48:38,B31003,484,-22.80484,-43.30935,0.0,736057,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:49:08,B31003,484,-22.80483,-43.30935,0.0,737715,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:49:38,B31003,484,-22.80483,-43.30935,0.0,739323,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:50:08,B31003,484,-22.80483,-43.30935,0.0,740937,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:50:10,B31089,484,-22.82936,-43.27972,0.0,741035,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:50:38,B31003,484,-22.80483,-43.30935,0.0,742581,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:50:40,B31089,484,-22.82936,-43.27973,0.0,742657,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:51:08,B31003,484,-22.80482,-43.30933,0.0,744198,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:51:10,B31089,484,-22.82937,-43.27972,0.0,744296,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:51:38,B31003,484,-22.80482,-43.30933,0.0,745798,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:51:40,B31089,484,-22.82939,-43.27973,0.0,745905,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:52:08,B31003,484,-22.80481,-43.30932,0.0,747448,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:52:10,B31089,484,-22.82938,-43.27973,0.0,747557,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:52:38,B31003,484,-22.80481,-43.30931,0.0,749082,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:52:40,B31089,484,-22.82937,-43.27972,0.0,749163,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:53:08,B31003,484,-22.80457,-43.3094,0.0,750703,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:53:10,B31089,484,-22.82936,-43.27972,0.0,750806,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:53:38,B31003,484,-22.80457,-43.30939,0.0,752332,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:53:40,B31089,484,-22.82936,-43.27973,0.0,752481,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:54:08,B31003,484,-22.80457,-43.30939,0.0,753984,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:54:10,B31089,484,-22.82936,-43.27974,0.0,754081,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:54:38,B31003,484,-22.80457,-43.30939,0.0,755631,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:54:40,B31089,484,-22.82938,-43.27974,0.0,755714,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:55:08,B31003,484,-22.80457,-43.30939,0.0,757286,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:55:10,B31089,484,-22.82939,-43.27975,0.0,757365,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:55:38,B31003,484,-22.80457,-43.30939,0.0,758889,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:55:40,B31089,484,-22.82939,-43.27977,0.0,759006,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:56:08,B31003,484,-22.80457,-43.30939,0.0,760556,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:56:10,B31089,484,-22.82939,-43.27977,0.0,760706,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:56:38,B31003,484,-22.80457,-43.30939,0.0,762255,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:56:40,B31089,484,-22.82939,-43.27977,0.0,762322,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:57:08,B31003,484,-22.80457,-43.30939,0.0,763868,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:57:10,B31089,484,-22.82938,-43.27976,0.0,763995,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:57:38,B31003,484,-22.80457,-43.30939,0.0,765521,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:57:40,B31089,484,-22.82938,-43.27975,0.0,765634,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:58:08,B31003,484,-22.80457,-43.30939,0.0,767172,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:58:10,B31089,484,-22.82939,-43.27974,0.0,767277,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:58:38,B31003,484,-22.80457,-43.30939,0.0,768830,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:58:40,B31089,484,-22.82939,-43.27974,0.0,768973,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:58:52,B31073,484,-22.80418,-43.31128,0.0,769638,2.0.14,5,048,31.0,41.0,,,2.0.14
2023-02-21 03:59:08,B31003,484,-22.80457,-43.30939,0.0,770514,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:59:10,B31089,484,-22.82938,-43.27974,0.0,770577,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 03:59:38,B31003,484,-22.80457,-43.30939,0.0,772135,2.0.14,6,048,31.0,41.0,,,2.0.14
2023-02-21 03:59:40,B31089,484,-22.82938,-43.27974,0.0,772220,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 04:00:08,B31003,484,-22.80433,-43.30914,2.7777777777777777,773752,2.0.14,6,048,31.0,,,,2.0.14
2023-02-21 04:00:10,B31089,484,-22.82938,-43.27974,0.0,773901,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 04:00:38,B31003,484,-22.80494,-43.30885,4.444444444444445,775419,2.0.14,8,048,31.0,,,,2.0.14
2023-02-21 04:00:40,B31089,484,-22.82937,-43.27974,0.0,775540,2.0.14,8,044,11.0,,,,2.0.14
2023-02-21 04:01:08,B31003,484,-22.80618,-43.30824,3.333333333333333,777053,2.0.14,4,048,31.0,,,,2.0.14
2023-02-21 04:01:10,B31089,484,-22.82927,-43.27924,2.7777777777777777,777190,2.0.14,6,044,11.0,,,,2.0.14
2023-02-21 04:01:38,B31003,484,-22.80563,-43.30684,6.944444444444445,778750,2.0.14,13,048,31.0,,,,2.0.14
2023-02-21 04:01:40,B31089,484,-22.82943,-43.27822,7.5,778827,2.0.14,7,044,11.0,,,,2.0.14
2023-02-21 04:02:08,B31003,484,-22.80583,-43.30559,9.444444444444445,780352,2.0.14,9,048,31.0,,,,2.0.14
2023-02-21 04:02:10,B31089,484,-22.83026,-43.27777,7.5,780498,2.0.14,6,044,11.0,,,,2.0.14
2023-02-21 04:02:38,B31003,484,-22.80866,-43.30325,14.166666666666666,782051,2.0.14,4,048,31.0,,,,2.0.14
2023-02-21 04:02:40,B31089,484,-22.83111,-43.2785,7.777777777777778,782171,2.0.14,7,044,11.0,,,,2.0.14
2023-02-21 04:03:08,B31003,484,-22.81173,-43.30139,13.055555555555555,783701,2.0.14,7,048,31.0,,,,2.0.14
2023-02-21 04:03:10,B31089,484,-22.83296,-43.28009,10.0,783810,2.0.14,12,044,11.0,,,,2.0.14
2023-02-21 04:03:38,B31003,484,-22.8152,-43.30106,11.11111111111111,785362,2.0.14,11,048,31.0,,,,2.0.14
2023-02-21 04:03:40,B31089,484,-22.83446,-43.28162,4.444444444444445,785439,2.0.14,16,044,11.0,,,,2.0.14
2023-02-21 04:04:08,B31003,484,-22.81652,-43.3034,11.666666666666666,786970,2.0.14,4,047,31.0,,,,2.0.14
2023-02-21 04:04:10,B31089,484,-22.83599,-43.28353,8.055555555555555,787093,2.0.14,16,044,11.0,,16.0,,2.0.14
2023-02-21 04:04:38,B31003,484,-22.81812,-43.30325,10.833333333333334,788627,2.0.14,6,047,31.0,,,,2.0.14
2023-02-21 04:04:40,B31089,484,-22.83694,-43.28439,0.0,788715,2.0.14,16,044,11.0,,16.0,,2.0.14
2023-02-21 04:05:08,B31003,484,-22.81938,-43.30019,14.444444444444445,790279,2.0.14,9,047,31.0,,,,2.0.14
2023-02-21 04:05:10,B31089,484,-22.83703,-43.28406,7.222222222222222,790405,2.0.14,16,043,11.0,,16.0,,2.0.14
2023-02-21 04:05:38,B31003,484,-22.82214,-43.29741,13.88888888888889,791958,2.0.14,17,046,31.0,,,,2.0.14
2023-02-21 04:05:40,B31089,484,-22.83677,-43.28262,5.555555555555555,792029,2.0.14,22,043,11.0,,16.0,,2.0.14
2023-02-21 04:06:08,B31003,484,-22.82574,-43.29642,13.333333333333332,793623,2.0.14,10,046,31.0,,,,2.0.14
2023-02-21 04:06:10,B31089,484,-22.83743,-43.28113,13.055555555555555,793748,2.0.14,15,043,11.0,,,,2.0.14
